position,Male,Female,Other,n
CEO,57.91666666666667,39.58333333333333,2.5,240
manager,55.833333333333336,41.66666666666667,2.499999999999993,240
secretary,7.916666666666666,90.41666666666667,1.6666666666666572,240
intern,46.25,53.333333333333336,0.4166666666666643,240
pilot,67.08333333333333,29.166666666666668,3.7500000000000036,240
flight attendant,19.166666666666668,77.08333333333334,3.749999999999986,240
professor,55.41666666666667,43.75,0.8333333333333286,240
teacher,35.0,64.16666666666667,0.8333333333333286,240
white collar worker,50.83333333333333,46.25,2.9166666666666714,240
blue collar worker,75.83333333333333,19.583333333333332,4.583333333333339,240
